Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
ORL,MIA,2024-10-23,W,A,116,97,240,41,96,0.427,23,47,0.489,18,49,0.367,16,22,0.727,32,82,0.39,21,48,0.438,11,34,0.324,22,29,0.759,18,39,57,9,32,41,28,8,8,14,21,24,5,8,11,19,120.7,100.9,0.229,0.51,0.549,0.521,0.167,100.9,120.7,0.354,0.415,0.512,0.457,0.268,36.0,81.3,41.8,18.8,64.0,41.8,68.3,8.3,16.7,11.7,75.0,5.2,17.0,10.4,5.0,5.0,96.078,96.078,96.078
CHO,MIA,2024-10-26,L,H,106,114,240,39,89,0.438,26,48,0.542,13,41,0.317,15,21,0.714,40,86,0.465,26,52,0.5,14,34,0.412,20,28,0.714,15,31,46,13,30,43,20,6,5,20,24,33,8,6,14,19,108.0,116.2,0.236,0.461,0.539,0.511,0.169,116.2,108.0,0.326,0.395,0.58,0.547,0.233,33.3,70.5,48.3,29.5,66.7,48.3,51.3,6.1,9.6,16.9,82.5,8.2,12.5,12.5,1.0,3.0,98.13230000000001,98.13230000000001,98.13230000000001
DET,MIA,2024-10-28,L,A,98,106,240,35,91,0.385,21,53,0.396,14,38,0.368,14,17,0.824,38,88,0.432,23,41,0.561,15,47,0.319,15,20,0.75,19,35,54,10,34,44,14,6,6,17,19,24,14,3,12,14,103.5,111.9,0.187,0.418,0.498,0.462,0.154,111.9,103.5,0.227,0.534,0.548,0.517,0.17,35.8,77.8,44.9,22.2,64.2,44.9,40.0,6.3,14.6,14.7,63.2,14.8,5.7,11.0,2.0,2.0,94.73581999999999,94.73581999999999,94.73581999999999
NYK,MIA,2024-10-30,W,A,116,107,240,40,82,0.488,22,42,0.524,18,40,0.45,18,20,0.9,37,81,0.457,20,41,0.488,17,40,0.425,16,24,0.667,7,35,42,7,32,39,30,8,4,11,16,27,6,3,10,17,124.9,115.2,0.244,0.488,0.639,0.598,0.22,115.2,124.9,0.296,0.494,0.584,0.562,0.198,17.9,83.3,48.1,16.7,82.1,48.1,75.0,8.6,9.8,10.8,73.0,6.5,7.1,9.8,2.0,2.0,92.84669,92.84669,92.84669
WAS,MIA,2024-11-02,L,H,98,118,240,38,91,0.418,31,56,0.554,7,35,0.2,15,21,0.714,43,102,0.422,28,65,0.431,15,37,0.405,17,24,0.708,8,36,44,21,44,65,23,12,10,12,22,19,6,3,14,18,95.6,115.1,0.231,0.385,0.489,0.456,0.165,115.1,95.6,0.235,0.363,0.524,0.495,0.167,15.4,63.2,59.6,36.8,84.6,59.6,60.5,11.7,15.4,10.7,44.2,5.9,5.4,11.1,3.0,3.0,102.51741,102.51741,102.51741
SAC,MIA,2024-11-04,W,A,111,110,240,44,86,0.512,34,59,0.576,10,27,0.37,13,15,0.867,37,85,0.435,22,49,0.449,15,36,0.417,21,30,0.7,11,28,39,8,28,36,23,5,4,14,28,24,9,6,11,15,116.9,115.8,0.174,0.314,0.599,0.57,0.151,115.8,116.9,0.353,0.424,0.56,0.524,0.247,28.2,77.8,48.0,22.2,71.8,48.0,52.3,5.3,8.2,13.1,64.9,9.5,10.2,10.1,2.0,2.0,94.9625,94.9625,94.9625
PHO,MIA,2024-11-06,W,H,115,112,240,42,84,0.5,24,41,0.585,18,43,0.419,13,18,0.722,40,92,0.435,27,58,0.466,13,34,0.382,19,20,0.95,10,36,46,13,30,43,29,5,6,16,14,27,12,3,10,16,120.3,117.2,0.214,0.512,0.626,0.607,0.155,117.2,120.3,0.217,0.37,0.556,0.505,0.207,25.0,73.5,48.3,26.5,75.0,48.3,69.0,5.2,10.3,14.8,67.5,12.6,7.3,9.0,2.0,2.0,95.61019999999999,95.61019999999999,95.61019999999999
DEN,MIA,2024-11-08,W,H,135,122,240,50,81,0.617,32,46,0.696,18,35,0.514,17,19,0.895,46,94,0.489,26,51,0.51,20,43,0.465,10,13,0.769,6,33,39,9,24,33,37,5,5,18,13,33,11,1,14,19,133.6,120.7,0.235,0.432,0.755,0.728,0.21,120.7,133.6,0.138,0.457,0.612,0.596,0.106,20.0,78.6,45.8,21.4,80.0,45.8,74.0,4.9,9.8,16.8,71.7,10.9,2.2,12.3,2.0,2.0,101.08748,101.08748,101.08748
MIN,MIA,2024-11-10,L,H,94,95,240,35,88,0.398,22,43,0.512,13,45,0.289,11,13,0.846,34,77,0.442,23,46,0.5,11,31,0.355,16,22,0.727,16,31,47,6,37,43,22,13,5,20,20,18,14,9,23,20,95.2,96.2,0.148,0.511,0.501,0.472,0.125,96.2,95.2,0.286,0.403,0.548,0.513,0.208,30.2,83.8,47.8,16.2,69.8,47.8,62.9,13.2,10.9,17.6,52.9,14.2,20.9,21.0,2.0,2.0,98.70998,98.70998,98.70998
DET,MIA,2024-11-12,W,H,123,121,265,43,92,0.467,30,56,0.536,13,36,0.361,24,28,0.857,47,101,0.465,30,56,0.536,17,45,0.378,10,13,0.769,15,41,56,12,31,43,32,4,4,19,19,25,14,3,12,22,117.0,115.1,0.304,0.391,0.59,0.538,0.261,115.1,117.0,0.129,0.446,0.567,0.55,0.099,32.6,77.4,43.4,22.6,67.4,43.4,74.4,3.8,7.1,15.4,53.2,13.3,5.4,10.1,2.0,2.0,105.12477000000001,95.20733886792455,95.20733886792455
