Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
UTA,MEM,2024-10-23,L,H,124,126,240,40,85,0.471,30,59,0.508,10,26,0.385,34,45,0.756,43,91,0.473,26,46,0.565,17,45,0.378,23,32,0.719,14,35,49,13,28,41,21,7,9,17,24,28,7,5,13,35,119.9,121.8,0.529,0.306,0.592,0.529,0.4,121.8,119.9,0.352,0.495,0.6,0.566,0.253,33.3,72.9,45.6,27.1,66.7,45.6,52.5,6.8,19.6,14.0,65.1,6.8,8.5,11.0,5.0,5.0,103.423745,103.423745,103.423745
UTA,GSW,2024-10-25,L,H,86,127,240,29,92,0.315,20,50,0.4,9,42,0.214,19,26,0.731,51,106,0.481,31,56,0.554,20,50,0.4,5,6,0.833,14,31,45,19,41,60,18,8,5,22,11,35,15,6,15,25,82.6,122.0,0.283,0.457,0.416,0.364,0.207,122.0,82.6,0.057,0.472,0.584,0.575,0.047,25.5,62.0,57.1,38.0,74.5,57.1,62.1,7.7,8.9,17.5,68.6,14.4,12.0,12.1,2.0,2.0,104.12372500000001,104.12372500000001,104.12372500000001
UTA,DAL,2024-10-28,L,A,102,110,240,34,92,0.37,24,57,0.421,10,35,0.286,24,29,0.828,43,95,0.453,32,56,0.571,11,39,0.282,13,17,0.765,15,35,50,13,37,50,24,7,5,15,17,27,9,12,14,23,101.3,109.2,0.315,0.38,0.487,0.424,0.261,109.2,101.3,0.179,0.411,0.537,0.511,0.137,28.8,72.9,50.0,27.1,71.2,50.0,70.6,7.0,8.9,12.5,62.8,8.9,21.1,12.0,3.0,2.0,100.72414,100.72414,100.72414
UTA,SAC,2024-10-29,L,H,96,113,240,35,89,0.393,21,41,0.512,14,48,0.292,12,14,0.857,48,92,0.522,40,61,0.656,8,31,0.258,9,14,0.643,12,30,42,9,40,49,24,7,4,17,16,26,9,9,12,19,97.5,114.7,0.157,0.539,0.504,0.472,0.135,114.7,97.5,0.152,0.337,0.576,0.565,0.098,23.1,76.9,53.8,23.1,76.9,53.8,68.6,7.1,6.6,15.2,54.2,9.1,22.0,10.9,1.0,1.0,98.48866999999998,98.48866999999998,98.48866999999998
UTA,SAS,2024-10-31,L,H,88,106,240,32,82,0.39,25,50,0.5,7,32,0.219,17,19,0.895,38,92,0.413,26,49,0.531,12,43,0.279,18,23,0.783,15,38,53,11,31,42,19,6,6,26,19,25,17,7,11,17,89.2,107.4,0.232,0.39,0.487,0.433,0.207,107.4,89.2,0.25,0.467,0.519,0.478,0.196,32.6,77.6,44.2,22.4,67.4,44.2,59.4,6.1,12.2,22.3,65.8,17.2,14.0,9.7,2.0,1.0,98.70814,98.70814,98.70814
UTA,DEN,2024-11-02,L,A,103,129,240,32,77,0.416,19,35,0.543,13,42,0.31,26,31,0.839,48,99,0.485,32,67,0.478,16,32,0.5,17,23,0.739,8,31,39,19,33,52,24,7,8,24,22,33,14,1,18,25,98.3,123.2,0.403,0.545,0.568,0.5,0.338,123.2,98.3,0.232,0.323,0.591,0.566,0.172,19.5,62.0,57.1,38.0,80.5,57.1,75.0,6.7,11.9,20.9,68.8,13.4,2.9,14.2,2.0,1.0,104.737075,104.737075,104.737075
UTA,CHI,2024-11-04,W,A,135,126,240,48,89,0.539,32,53,0.604,16,36,0.444,23,30,0.767,45,95,0.474,31,58,0.534,14,37,0.378,22,25,0.88,12,37,49,10,26,36,35,3,6,13,18,36,7,7,9,23,133.2,124.3,0.337,0.404,0.66,0.629,0.258,124.3,133.2,0.263,0.389,0.594,0.547,0.232,31.6,78.7,42.4,21.3,68.4,42.4,72.9,3.0,10.3,11.3,80.0,6.9,13.2,7.8,2.0,3.0,101.37079,101.37079,101.37079
UTA,MIL,2024-11-07,L,A,100,123,240,33,77,0.429,16,36,0.444,17,41,0.415,17,18,0.944,43,84,0.512,28,49,0.571,15,35,0.429,22,30,0.733,8,31,39,11,30,41,24,5,5,22,19,20,13,3,11,21,104.3,128.3,0.234,0.532,0.589,0.539,0.221,128.3,104.3,0.357,0.417,0.633,0.601,0.262,21.1,73.8,51.3,26.2,78.9,51.3,72.7,5.2,10.2,20.6,46.5,13.6,8.3,10.2,3.0,3.0,95.88609,95.88609,95.88609
UTA,SAS,2024-11-09,W,A,111,110,240,38,82,0.463,28,49,0.571,10,33,0.303,25,35,0.714,38,85,0.447,21,38,0.553,17,47,0.362,17,19,0.895,9,36,45,6,31,37,23,13,4,18,20,29,8,10,20,26,106.3,105.4,0.427,0.402,0.57,0.524,0.305,105.4,106.3,0.224,0.553,0.589,0.547,0.2,22.5,85.7,45.1,14.3,77.5,45.1,60.5,12.5,10.5,15.6,76.3,7.7,20.4,17.6,2.0,2.0,104.407765,104.407765,104.407765
UTA,PHO,2024-11-12,L,H,112,120,240,45,92,0.489,30,54,0.556,15,38,0.395,7,9,0.778,43,86,0.5,25,47,0.532,18,39,0.462,16,22,0.727,12,27,39,10,32,42,32,7,3,13,17,21,6,11,10,11,119.6,128.2,0.098,0.413,0.584,0.571,0.076,128.2,119.6,0.256,0.453,0.627,0.605,0.186,27.3,73.0,51.9,27.0,72.7,51.9,71.1,7.5,6.4,11.9,48.8,6.4,20.4,9.5,3.0,2.0,93.624065,93.624065,93.624065
