Team,Opp,Date,Result,H/A,Tm_PTS,Opp_PTS,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Tm_ORB,Tm_DRB,Tm_TRB,Opp_ORB,Opp_DRB,Opp_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Tm_ORtg,Tm_DRtg,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_FT/FGA,Opp_ORtg,Opp_DRtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_eFG%,Opp_FT/FGA,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Tm_AST%,Tm_STL%,Tm_BLK%,Tm_TOV%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Tm_Rest,Opp_Rest,Tm_Pos,Tm_Pace,Opp_Pace
SAC,MIN,2024-10-24,L,H,115,117,240,38,82,0.463,27,53,0.509,11,29,0.379,28,35,0.8,41,86,0.477,21,36,0.583,20,50,0.4,15,17,0.882,4,34,38,6,36,42,21,7,2,9,18,24,3,2,17,24,113.4,115.3,0.427,0.354,0.59,0.53,0.341,115.3,113.4,0.198,0.581,0.626,0.593,0.174,10.0,85.0,52.5,15.0,90.0,52.5,55.3,6.9,5.6,8.5,58.5,3.0,3.8,15.4,5.0,2.0,101.43475000000001,101.43475000000001,101.43475000000001
SAC,LAL,2024-10-26,L,A,127,131,240,45,88,0.511,30,44,0.682,15,44,0.341,22,25,0.88,48,92,0.522,34,58,0.586,14,34,0.412,21,24,0.875,5,27,32,13,32,45,32,12,5,14,19,32,8,3,19,19,120.3,124.1,0.284,0.5,0.641,0.597,0.25,124.1,120.3,0.261,0.37,0.639,0.598,0.228,13.5,67.5,58.4,32.5,86.5,58.4,71.1,11.4,8.6,12.4,66.7,7.6,6.8,15.6,2.0,1.0,105.543825,105.543825,105.543825
SAC,POR,2024-10-28,W,H,111,98,240,37,81,0.457,23,46,0.5,14,35,0.4,23,25,0.92,35,83,0.422,31,61,0.508,4,22,0.182,24,30,0.8,9,31,40,12,34,46,25,8,6,16,27,17,5,4,18,22,113.4,100.1,0.309,0.432,0.603,0.543,0.284,100.1,113.4,0.361,0.265,0.509,0.446,0.289,20.9,72.1,53.5,27.9,79.1,53.5,67.6,8.2,9.8,14.8,48.6,5.1,8.7,15.8,2.0,1.0,97.91542,97.91542,97.91542
SAC,UTA,2024-10-29,W,A,113,96,240,48,92,0.522,40,61,0.656,8,31,0.258,9,14,0.643,35,89,0.393,21,41,0.512,14,48,0.292,12,14,0.857,9,40,49,12,30,42,26,9,9,12,19,24,7,4,17,16,114.7,97.5,0.152,0.337,0.576,0.565,0.098,97.5,114.7,0.157,0.539,0.504,0.472,0.135,23.1,76.9,46.2,23.1,76.9,46.2,54.2,9.1,22.0,10.9,68.6,7.1,6.6,15.2,1.0,1.0,98.48866999999998,98.48866999999998,98.48866999999998
SAC,ATL,2024-11-01,W,A,123,115,240,43,89,0.483,32,56,0.571,11,33,0.333,26,30,0.867,41,92,0.446,22,42,0.524,19,50,0.38,14,18,0.778,10,41,51,8,32,40,28,9,4,14,21,30,8,4,13,22,119.1,111.3,0.337,0.371,0.602,0.545,0.292,111.3,119.1,0.196,0.543,0.575,0.549,0.152,23.8,83.7,44.0,16.3,76.2,44.0,65.1,8.7,9.5,12.0,73.2,7.7,7.1,11.5,3.0,2.0,103.295365,103.295365,103.295365
SAC,TOR,2024-11-02,L,A,128,131,265,46,100,0.46,36,60,0.6,10,40,0.25,26,32,0.813,46,95,0.484,29,58,0.5,17,37,0.459,22,31,0.71,15,34,49,12,34,46,21,16,3,18,22,31,13,3,19,25,113.4,116.0,0.32,0.4,0.561,0.51,0.26,116.0,113.4,0.326,0.389,0.603,0.574,0.232,30.6,73.9,48.4,26.1,69.4,48.4,45.7,14.2,5.2,13.6,67.4,11.5,5.0,14.9,1.0,1.0,112.917545,102.26494641509434,102.26494641509434
SAC,MIA,2024-11-04,W,A,111,110,240,44,86,0.512,34,59,0.576,10,27,0.37,13,15,0.867,37,85,0.435,22,49,0.449,15,36,0.417,21,30,0.7,11,28,39,8,28,36,23,5,4,14,28,24,9,6,11,15,116.9,115.8,0.174,0.314,0.599,0.57,0.151,115.8,116.9,0.353,0.424,0.56,0.524,0.247,28.2,77.8,48.0,22.2,71.8,48.0,52.3,5.3,8.2,13.1,64.9,9.5,10.2,10.1,2.0,2.0,94.9625,94.9625,94.9625
SAC,TOR,2024-11-06,W,H,122,107,240,42,90,0.467,32,55,0.582,10,35,0.286,28,32,0.875,43,88,0.489,33,54,0.611,10,34,0.294,11,15,0.733,15,32,47,8,26,34,26,7,5,10,13,25,7,1,12,23,128.2,112.4,0.356,0.389,0.586,0.522,0.311,112.4,128.2,0.17,0.386,0.566,0.545,0.125,36.6,80.0,42.0,20.0,63.4,42.0,61.9,7.4,9.3,8.8,58.1,7.4,1.8,11.3,2.0,2.0,95.18612,95.18612,95.18612
SAC,LAC,2024-11-08,L,H,98,107,240,37,78,0.474,34,52,0.654,3,26,0.115,21,24,0.875,36,81,0.444,22,51,0.431,14,30,0.467,21,23,0.913,5,30,35,12,36,48,19,6,3,14,19,20,7,2,21,21,101.2,110.5,0.308,0.333,0.553,0.494,0.269,110.5,101.2,0.284,0.37,0.587,0.531,0.259,12.2,71.4,57.8,28.6,87.8,57.8,51.4,6.2,5.9,13.7,55.6,7.2,3.8,18.7,2.0,2.0,96.83848,96.83848,96.83848
SAC,PHO,2024-11-10,W,A,127,118,265,50,102,0.49,39,65,0.6,11,37,0.297,16,19,0.842,44,105,0.419,26,48,0.542,18,57,0.316,12,15,0.8,8,49,57,8,40,48,23,7,3,15,20,30,11,3,12,19,110.8,103.0,0.186,0.363,0.575,0.544,0.157,103.0,110.8,0.143,0.543,0.529,0.505,0.114,16.7,86.0,45.7,14.0,83.3,45.7,46.0,6.1,6.3,12.0,68.2,9.6,4.6,9.7,2.0,2.0,114.58516,103.77523924528302,103.77523924528302
SAC,SAS,2024-11-11,L,A,96,116,240,39,91,0.429,29,53,0.547,10,38,0.263,8,9,0.889,43,85,0.506,21,39,0.538,22,46,0.478,8,8,1.0,9,28,37,8,36,44,18,11,4,11,14,31,5,5,18,10,100.7,121.7,0.099,0.418,0.505,0.484,0.088,121.7,100.7,0.094,0.541,0.655,0.635,0.094,20.0,77.8,54.3,22.2,80.0,54.3,46.2,11.5,10.3,10.4,72.1,5.2,9.4,16.9,1.0,2.0,95.34765999999999,95.34765999999999,95.34765999999999
